hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24
cuadro 14,Cuadro 14,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 14,"Accidentes de tránsito ocurridos en el municipio de Guatemala, por zona de ocurrencia, según hora.",,,,,,,,,,,,,,,,,,,,,,,,
cuadro 14,Año 2024.,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 14,Hora de ocurrencia,Total,Zona de ocurrencia,,,,,,,,,,,,,,,,,,,,,,
cuadro 14,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,24,25,Ignorada
cuadro 14,Total,1739,182,37,51,27,69,96,219,25,90,71,113,246,84,8,28,22,42,152,17,36,3,9,112
cuadro 14,00:00 a 00:59,118,11,2,2,0,6,7,19,3,6,3,8,21,7,0,1,1,4,7,2,4,0,1,3
cuadro 14,01:00 a 01:59,75,4,5,0,0,8,5,12,1,3,1,6,15,3,0,1,0,3,5,0,1,0,0,2
cuadro 14,02:00 a 02:59,78,4,2,3,0,1,3,9,1,2,7,10,14,5,1,2,3,4,4,0,0,0,1,2
cuadro 14,03:00 a 03:59,48,4,0,2,0,1,1,11,1,5,3,6,5,2,0,1,0,0,2,0,0,0,1,3
cuadro 14,04:00 a 04:59,35,3,1,1,0,1,3,5,0,2,1,5,5,1,0,0,0,2,3,1,0,0,0,1
cuadro 14,05:00 a 05:59,57,4,1,1,1,0,2,8,1,1,4,7,15,5,0,2,0,0,3,0,0,0,0,2
cuadro 14,06:00 a 06:59,51,4,0,0,1,3,3,7,2,2,4,1,10,3,0,1,0,3,5,0,0,0,0,2
cuadro 14,07:00 a 07:59,62,7,1,0,1,4,6,6,1,0,3,4,12,4,0,0,1,1,5,1,0,0,0,5
cuadro 14,08:00 a 08:59,40,5,0,1,0,2,0,6,0,3,2,3,4,1,0,1,0,0,5,1,1,0,0,5
cuadro 14,09:00 a 09:59,61,6,2,2,0,5,6,4,1,5,2,7,6,1,0,2,0,0,4,1,3,0,0,4
cuadro 14,10:00 a 10:59,73,10,5,2,3,3,2,9,2,5,4,5,7,3,0,0,0,2,3,0,2,0,0,6
cuadro 14,11:00 a 11:59,67,11,0,2,1,1,1,7,0,4,4,1,8,5,0,1,1,4,9,0,3,0,0,4
cuadro 14,12:00 a 12:59,54,3,1,2,0,1,6,4,0,2,4,3,8,1,0,1,1,1,6,1,3,1,1,4
cuadro 14,13:00 a 13:59,73,11,1,2,1,2,3,7,2,3,1,6,10,4,1,0,0,2,9,1,3,0,0,4
cuadro 14,14:00 a 14:59,66,3,2,1,0,1,5,9,2,1,3,4,11,2,0,2,5,1,8,0,2,0,0,4
cuadro 14,15:00 a 15:59,61,10,0,3,1,3,2,8,2,3,1,4,6,4,0,2,1,0,6,0,1,0,0,4
cuadro 14,16:00 a 16:59,69,8,0,4,2,6,3,11,0,1,0,3,8,4,0,0,0,1,8,1,2,0,0,7
cuadro 14,17:00 a 17:59,83,14,2,3,3,3,4,9,1,5,2,1,8,2,2,1,1,1,8,2,1,1,1,8
cuadro 14,18:00 a 18:59,68,9,2,2,2,1,9,10,0,2,2,2,10,4,0,0,2,1,7,0,0,0,0,3
cuadro 14,19:00 a 19:59,87,7,3,2,1,0,6,9,1,6,6,2,13,5,1,0,2,1,8,2,2,0,0,10
cuadro 14,20:00 a 20:59,93,9,2,5,2,2,4,9,0,9,3,4,9,5,1,1,3,4,8,1,5,0,0,7
cuadro 14,21:00 a 21:59,112,11,1,9,5,6,7,8,1,8,3,6,15,4,1,3,1,3,11,0,1,0,1,7
cuadro 14,22:00 a 22:59,105,11,2,1,0,4,5,17,1,6,1,12,12,6,0,3,0,2,10,2,1,1,2,6
cuadro 14,23:00 a 23:59,102,13,2,1,3,5,3,15,2,6,7,3,14,3,1,2,0,2,8,1,1,0,1,9
cuadro 14,Ignorada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
