hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
cuadro 21,Cuadro 21,,,,,,,,,,,,,,,,,,,
cuadro 21,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por tipo de vehículo, según departamento.",,,,,,,,,,,,,,,,,,,
cuadro 21,Año 2024.,,,,,,,,,,,,,,,,,,,
cuadro 21,Departamento,Total,Tipo de vehículo,,,,,,,,,,,,,,,,,
cuadro 21,,,Motocicleta,Automóvil,Pick Up,Camioneta,Camión,Cabezal,Bus Urbano,Microbús,Moto Taxi,Panel,Cuatrimoto,Tractor,Bus Extraurbano,Jeep,Bicicleta,Montacargas,Taxi,Ignorado
cuadro 21,Total,13045,6462,2443,1108,978,664,469,281,157,116,49,42,9,8,7,4,1,1,246
cuadro 21,Guatemala,5290,2799,1316,241,383,169,94,106,33,16,16,7,0,1,6,1,0,1,101
cuadro 21,El Progreso,297,102,42,46,29,25,29,5,4,5,2,2,0,0,0,0,0,0,6
cuadro 21,Sacatepéquez,574,274,103,45,50,41,17,15,12,4,2,0,0,1,0,2,0,0,8
cuadro 21,Chimaltenango,440,187,94,54,25,29,11,10,8,3,1,2,1,0,0,0,0,0,15
cuadro 21,Escuintla,1696,964,223,115,81,90,127,28,13,4,5,1,2,2,0,0,0,0,41
cuadro 21,Santa Rosa,372,174,48,45,44,13,13,10,3,6,1,4,2,0,0,0,0,0,9
cuadro 21,Sololá,106,30,17,19,14,10,5,5,0,2,2,1,0,0,0,0,0,0,1
cuadro 21,Totonicapán,77,15,14,15,11,7,7,1,3,1,2,0,0,0,0,0,0,0,1
cuadro 21,Quetzaltenango,363,143,66,53,40,20,17,10,10,2,0,0,0,1,0,0,0,0,1
cuadro 21,Suchitepéquez,313,140,25,38,30,21,21,14,8,10,0,1,1,0,0,1,0,0,3
cuadro 21,Retalhuleu,300,165,33,33,25,13,6,6,6,7,1,3,0,0,0,0,0,0,2
cuadro 21,San Marcos,226,97,39,34,17,13,6,4,4,1,2,5,0,1,0,0,0,0,3
cuadro 21,Huehuetenango,211,96,30,29,30,10,1,3,2,3,2,1,0,1,0,0,0,0,3
cuadro 21,Quiché,231,99,20,30,17,29,2,12,5,5,3,3,0,0,0,0,0,0,6
cuadro 21,Baja Verapaz,267,141,26,45,9,16,5,5,5,4,2,6,0,0,0,0,0,0,3
cuadro 21,Alta Verapaz,544,248,75,64,34,47,10,24,11,18,2,2,1,0,1,0,0,0,7
cuadro 21,Petén,381,187,61,48,28,22,8,1,6,3,0,2,0,0,0,0,0,0,15
cuadro 21,Izabal,425,186,64,44,28,27,53,6,5,4,0,0,0,1,0,0,0,0,7
cuadro 21,Zacapa,198,77,28,35,10,19,14,1,3,3,2,0,1,0,0,0,0,0,5
cuadro 21,Chiquimula,208,105,27,23,16,13,3,3,6,8,1,0,0,0,0,0,0,0,3
cuadro 21,Jalapa,167,86,24,16,16,8,1,5,5,2,1,1,0,0,0,0,0,0,2
cuadro 21,Jutiapa,359,147,68,36,41,22,19,7,5,5,2,1,1,0,0,0,1,0,4
