hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
cuadro 22,Cuadro 22,,,,,,,,,,,,,,,
cuadro 22,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y condición del conductor, según departamento.",,,,,,,,,,,,,,,
cuadro 22,Año 2024.,,,,,,,,,,,,,,,
cuadro 22,Departamento,Total,Hombre,Mujer,Ignorado,Condición del conductor,,,,,,,,,,
cuadro 22,,,,,,No ebrio,,,,Ebrio,,,Ignorado,,,
cuadro 22,,,,,,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado
cuadro 22,Total,13045,11751,983,311,505,444,60,1,495,478,17,12045,10829,906,310
cuadro 22,Guatemala,5290,4705,470,115,250,213,36,1,182,177,5,4858,4315,429,114
cuadro 22,El Progreso,297,279,10,8,6,6,0,0,10,10,0,281,263,10,8
cuadro 22,Sacatepéquez,574,519,45,10,14,13,1,0,30,28,2,530,478,42,10
cuadro 22,Chimaltenango,440,396,21,23,18,17,1,0,17,17,0,405,362,20,23
cuadro 22,Escuintla,1696,1526,120,50,44,39,5,0,36,34,2,1616,1453,113,50
cuadro 22,Santa Rosa,372,340,26,6,17,17,0,0,18,17,1,337,306,25,6
cuadro 22,Sololá,106,98,5,3,2,2,0,0,1,1,0,103,95,5,3
cuadro 22,Totonicapán,77,74,3,0,0,0,0,0,0,0,0,77,74,3,0
cuadro 22,Quetzaltenango,363,336,24,3,12,10,2,0,11,11,0,340,315,22,3
cuadro 22,Suchitepéquez,313,290,17,6,15,13,2,0,8,7,1,290,270,14,6
cuadro 22,Retalhuleu,300,269,25,6,23,22,1,0,16,16,0,261,231,24,6
cuadro 22,San Marcos,226,208,14,4,7,7,0,0,12,11,1,207,190,13,4
cuadro 22,Huehuetenango,211,191,16,4,14,13,1,0,24,22,2,173,156,13,4
cuadro 22,Quiché,231,222,8,1,10,10,0,0,9,9,0,212,203,8,1
cuadro 22,Baja Verapaz,267,244,18,5,10,9,1,0,26,25,1,231,210,16,5
cuadro 22,Alta Verapaz,544,510,20,14,20,20,0,0,44,44,0,480,446,20,14
cuadro 22,Petén,381,334,32,15,9,6,3,0,13,13,0,359,315,29,15
cuadro 22,Izabal,425,370,34,21,7,5,2,0,10,10,0,408,355,32,21
cuadro 22,Zacapa,198,181,12,5,8,6,2,0,3,3,0,187,172,10,5
cuadro 22,Chiquimula,208,182,22,4,0,0,0,0,5,5,0,203,177,22,4
cuadro 22,Jalapa,167,150,12,5,7,6,1,0,7,6,1,153,138,10,5
cuadro 22,Jutiapa,359,327,29,3,12,10,2,0,13,12,1,334,305,26,3
