hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
cuadro 28,Cuadro 28,,,,,,,,,,,,,,,,,
cuadro 28,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en el municipio de Guatemala, por tipo de vehículo, según zona de ocurrencia.",,,,,,,,,,,,,,,,,
cuadro 28,Año 2024.,,,,,,,,,,,,,,,,,
cuadro 28,Zona de ocurrencia,Total,Tipo de vehículo,,,,,,,,,,,,,,,
cuadro 28,,,Motocicleta,Automóvil,Camioneta,Pick Up,Camión,Bus Urbano,Cabezal,Microbús,Moto Taxi,Panel,Jeep,Cuatrimoto,Bicicleta,Taxi,Bus Extraurbano,Ignorado
cuadro 28,Total,2738,1420,738,222,108,79,49,38,13,10,8,3,1,1,1,1,46
cuadro 28,1,330,157,102,22,14,11,18,1,3,1,0,0,0,0,1,0,0
cuadro 28,2,66,36,15,6,2,2,2,2,1,0,0,0,0,0,0,0,0
cuadro 28,3,84,42,21,11,5,3,0,0,1,0,1,0,0,0,0,0,0
cuadro 28,4,34,19,6,3,2,2,1,0,0,0,0,0,0,0,0,0,1
cuadro 28,5,98,52,31,8,5,0,0,1,0,0,0,0,0,0,0,0,1
cuadro 28,6,153,88,35,10,6,6,2,3,0,1,1,0,0,0,0,0,1
cuadro 28,7,379,201,101,32,14,8,8,5,2,2,1,0,0,1,0,0,4
cuadro 28,8,40,17,13,3,1,1,1,0,1,0,0,0,0,0,0,0,3
cuadro 28,9,149,81,35,21,3,2,5,1,1,0,0,0,0,0,0,0,0
cuadro 28,10,141,69,37,22,6,1,2,0,1,0,3,0,0,0,0,0,0
cuadro 28,11,189,80,62,12,9,7,4,7,0,0,1,0,0,0,0,0,7
cuadro 28,12,425,226,114,28,15,16,2,7,0,1,1,0,0,0,0,0,15
cuadro 28,13,134,82,34,8,6,1,1,0,0,0,0,1,0,0,0,0,1
cuadro 28,14,14,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
cuadro 28,15,37,17,10,4,4,0,0,0,0,0,0,2,0,0,0,0,0
cuadro 28,16,40,15,17,4,1,1,0,0,1,0,0,0,0,0,0,0,1
cuadro 28,17,64,37,15,1,2,4,0,3,0,0,0,0,0,0,0,0,2
cuadro 28,18,236,128,53,16,9,6,3,8,1,4,0,0,1,0,0,0,7
cuadro 28,19,28,11,11,3,0,2,0,0,0,0,0,0,0,0,0,1,0
cuadro 28,21,69,39,20,4,2,1,0,0,0,1,0,0,0,0,0,0,2
cuadro 28,24,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cuadro 28,25,13,8,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0
cuadro 28,Ignorado,10,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
