hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 3,Cuadro 3,,,,,,,,
cuadro 3,"Accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según departamento.",,,,,,,,
cuadro 3,Año 2024.,,,,,,,,
cuadro 3,Departamento,Total,Día de la semana,,,,,,
cuadro 3,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 3,Total,8401,1141,970,910,981,1182,1615,1602
cuadro 3,Guatemala,3408,447,382,363,409,516,679,612
cuadro 3,El Progreso,182,21,22,19,25,19,40,36
cuadro 3,Sacatepéquez,366,45,46,43,46,40,75,71
cuadro 3,Chimaltenango,299,37,33,40,30,36,58,65
cuadro 3,Escuintla,1123,163,133,112,135,151,198,231
cuadro 3,Santa Rosa,233,37,32,14,29,34,50,37
cuadro 3,Sololá,73,13,9,5,11,7,10,18
cuadro 3,Totonicapán,49,3,11,6,7,8,8,6
cuadro 3,Quetzaltenango,218,34,26,24,30,39,35,30
cuadro 3,Suchitepéquez,194,24,12,24,32,30,44,28
cuadro 3,Retalhuleu,176,32,22,18,14,25,31,34
cuadro 3,San Marcos,144,22,15,18,12,24,23,30
cuadro 3,Huehuetenango,128,17,23,11,10,12,31,24
cuadro 3,Quiché,153,29,25,19,18,21,23,18
cuadro 3,Baja Verapaz,172,21,16,24,17,32,27,35
cuadro 3,Alta Verapaz,364,47,46,51,31,61,65,63
cuadro 3,Petén,268,33,23,31,29,23,59,70
cuadro 3,Izabal,271,41,29,20,30,35,50,66
cuadro 3,Zacapa,120,15,15,12,9,20,23,26
cuadro 3,Chiquimula,124,16,12,12,17,11,28,28
cuadro 3,Jalapa,108,11,10,16,13,11,19,28
cuadro 3,Jutiapa,228,33,28,28,27,27,39,46
