hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 31,Cuadro 31,,,,,
cuadro 31,"Lesionados en accidentes de tránsito ocurridos en la República de Guatemala, por año, según departamento.",,,,,
cuadro 31,Serie histórica 2020 - 2024.,,,,,
cuadro 31,Departamento,Año de ocurrencia,,,,
cuadro 31,,2020,2021,2022,2023,2024
cuadro 31,Total,6593,8394,8545,8921,8907
cuadro 31,Guatemala,2599,3468,3406,3511,3516
cuadro 31,El Progreso,146,186,201,197,214
cuadro 31,Sacatepéquez,217,269,380,386,384
cuadro 31,Chimaltenango,249,273,306,273,215
cuadro 31,Escuintla,503,610,791,1034,1253
cuadro 31,Santa Rosa,214,251,304,360,242
cuadro 31,Sololá,86,145,67,109,100
cuadro 31,Totonicapán,60,56,87,89,88
cuadro 31,Quetzaltenango,180,236,300,310,240
cuadro 31,Suchitepéquez,213,235,194,223,231
cuadro 31,Retalhuleu,206,228,222,248,199
cuadro 31,San Marcos,148,172,144,242,165
cuadro 31,Huehuetenango,144,139,165,150,122
cuadro 31,Quiché,138,231,200,191,200
cuadro 31,Baja Verapaz,139,153,200,174,189
cuadro 31,Alta Verapaz,327,492,415,364,434
cuadro 31,Petén,208,243,210,222,194
cuadro 31,Izabal,192,203,216,218,290
cuadro 31,Zacapa,148,179,135,102,135
cuadro 31,Chiquimula,174,187,155,132,150
cuadro 31,Jalapa,131,180,176,143,113
cuadro 31,Jutiapa,171,258,271,243,233
