hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34
cuadro 36,Cuadro 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 36,"Lesionados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y tipo de accidente, según tipo de vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 36,Año 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 36,Tipo de vehículo,Total,Hombre,Mujer,Ignorado,Tipo de accidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 36,,,,,,Colisión,,,,Atropello,,,,Derrape,,,Choque,,,,Vuelco,,,Embarrancó,,,,Encunetó,,,Caída,,Ignorado,,
cuadro 36,,,,,,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado,Total,Hombres,Mujeres,Total,Mujer,Total,Hombre,Mujer
cuadro 36,Total,8907,6446,2445,16,5289,3931,1355,3,1495,986,499,10,1027,820,207,321,216,103,2,341,199,142,262,164,97,1,6,5,1,1,1,165,125,40
cuadro 36,Motocicleta,5675,4389,1280,6,3865,3061,801,3,673,405,266,2,952,780,172,81,68,13,0,2,2,0,31,27,3,1,0,0,0,0,0,71,46,25
cuadro 36,Automóvil,952,650,296,6,376,232,144,0,379,279,94,6,9,9,0,63,35,28,0,34,26,8,49,30,19,0,1,0,1,0,0,41,39,2
cuadro 36,Pick Up,675,407,268,0,351,217,134,0,101,69,32,0,23,6,17,52,30,22,0,97,51,46,27,17,10,0,5,5,0,0,0,19,12,7
cuadro 36,Camioneta,397,245,150,2,215,131,84,0,103,66,37,0,0,0,0,24,14,8,2,14,8,6,31,19,12,0,0,0,0,0,0,10,7,3
cuadro 36,Bus Urbano,313,159,154,0,73,30,43,0,38,23,15,0,4,1,3,27,17,10,0,98,53,45,71,34,37,0,0,0,0,1,1,1,1,0
cuadro 36,Camión,260,199,60,1,115,93,22,0,48,31,16,1,2,2,0,37,28,9,0,39,30,9,11,10,1,0,0,0,0,0,0,8,5,3
cuadro 36,Microbús,229,123,106,0,133,70,63,0,14,7,7,0,6,5,1,18,10,8,0,29,10,19,28,20,8,0,0,0,0,0,0,1,1,0
cuadro 36,Moto Taxi,137,68,69,0,87,40,47,0,14,11,3,0,5,2,3,5,2,3,0,18,10,8,7,2,5,0,0,0,0,0,0,1,1,0
cuadro 36,Cabezal,63,52,11,0,30,25,5,0,23,17,6,0,1,1,0,1,1,0,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0
cuadro 36,Cuatrimoto,43,25,18,0,26,16,10,0,5,4,1,0,9,3,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
cuadro 36,Panel,28,25,3,0,8,8,0,0,3,2,1,0,0,0,0,12,10,2,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0
cuadro 36,Bus Extraurbano,12,7,5,0,1,1,0,0,1,1,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Bicicleta,6,5,1,0,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Tractor,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Jeep,3,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Furgoneta,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Montacargas,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Taxi,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 36,Ignorado,108,86,21,1,4,3,1,0,83,64,18,1,6,6,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,10,10,0
