hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 45,Cuadro 45,,,,,,,,
cuadro 45,"Lesionados en accidentes de tránsito ocurridos en el municipio de Guatemala, por día de la semana, según zona de ocurrencia.",,,,,,,,
cuadro 45, Año 2024.,,,,,,,,
cuadro 45,Zona de ocurrencia,Total,Día de la semana,,,,,,
cuadro 45,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 45,Total,1769,224,219,182,212,246,350,336
cuadro 45,1,222,29,36,17,35,36,27,42
cuadro 45,2,37,7,7,4,4,4,5,6
cuadro 45,3,66,6,20,9,9,4,9,9
cuadro 45,4,24,3,2,2,4,5,7,1
cuadro 45,5,56,12,6,8,3,5,8,14
cuadro 45,6,112,13,13,20,15,14,17,20
cuadro 45,7,248,30,20,24,16,30,63,65
cuadro 45,8,20,3,5,2,2,0,5,3
cuadro 45,9,84,8,17,11,8,16,11,13
cuadro 45,10,87,4,20,11,9,11,18,14
cuadro 45,11,102,16,11,7,19,15,24,10
cuadro 45,12,272,38,27,27,36,47,50,47
cuadro 45,13,104,13,6,13,10,18,27,17
cuadro 45,14,7,0,0,2,1,2,2,0
cuadro 45,15,28,6,1,5,0,3,11,2
cuadro 45,16,25,3,5,2,4,2,1,8
cuadro 45,17,32,3,5,3,7,4,3,7
cuadro 45,18,167,19,10,6,21,19,48,44
cuadro 45,19,15,0,4,1,2,3,3,2
cuadro 45,21,38,9,3,6,1,4,8,7
cuadro 45,24,4,0,0,1,1,1,0,1
cuadro 45,25,9,1,0,0,3,2,1,2
cuadro 45,Ignorada,10,1,1,1,2,1,2,2
