hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4
cuadro 46,Cuadro 46,,,,
cuadro 46,"Lesionados en accidentes de tránsito ocurridos en el municipio de Guatemala, por sexo, según zona de ocurrencia.",,,,
cuadro 46,Año 2023,,,,
cuadro 46,Zona de ocurrencia,Total,Sexo,,
cuadro 46,,,Hombre,Mujer,Ignorado
cuadro 46,Total,1769,1296,471,2
cuadro 46,1,222,155,67,0
cuadro 46,2,37,27,10,0
cuadro 46,3,66,38,28,0
cuadro 46,4,24,22,2,0
cuadro 46,5,56,36,20,0
cuadro 46,6,112,79,33,0
cuadro 46,7,248,175,72,1
cuadro 46,8,20,12,8,0
cuadro 46,9,84,68,16,0
cuadro 46,10,87,61,26,0
cuadro 46,11,102,89,13,0
cuadro 46,12,272,217,55,0
cuadro 46,13,104,69,35,0
cuadro 46,14,7,6,1,0
cuadro 46,15,28,22,6,0
cuadro 46,16,25,18,7,0
cuadro 46,17,32,23,9,0
cuadro 46,18,167,122,45,0
cuadro 46,19,15,9,5,1
cuadro 46,21,38,30,8,0
cuadro 46,24,4,3,1,0
cuadro 46,25,9,7,2,0
cuadro 46,Ignorada,10,8,2,0
