hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
cuadro 55,Cuadro 55,,,,,,,,,,,,
cuadro 55,"Fallecidos por atropello en accidentes de tránsito ocurridos en la República de Guatemala, por mes de ocurrencia, según departamento.",,,,,,,,,,,,
cuadro 55,Año 2024.,,,,,,,,,,,,
cuadro 55,Departamento,Total,Mes de ocurrencia,,,,,,,,,,
cuadro 55,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre
cuadro 55,Total,629,53,70,64,54,42,56,68,56,58,58,50
cuadro 55,Guatemala,160,13,21,19,13,14,16,24,11,8,11,10
cuadro 55,El Progreso,12,0,0,2,0,4,0,0,4,1,0,1
cuadro 55,Sacatepéquez,20,5,0,2,1,1,1,3,2,1,2,2
cuadro 55,Chimaltenango,55,4,9,6,4,2,6,6,3,9,5,1
cuadro 55,Escuintla,59,12,6,5,6,5,6,3,2,4,6,4
cuadro 55,Santa Rosa,24,2,3,3,1,0,1,2,8,2,1,1
cuadro 55,Sololá,8,0,1,1,1,0,3,0,0,1,1,0
cuadro 55,Totonicapán,2,0,0,1,1,0,0,0,0,0,0,0
cuadro 55,Quetzaltenango,24,2,5,0,2,1,2,5,1,3,2,1
cuadro 55,Suchitepéquez,15,1,1,1,3,2,1,0,0,1,1,4
cuadro 55,Retalhuleu,9,0,1,2,1,0,1,1,1,0,1,1
cuadro 55,San Marcos,14,2,1,1,0,1,3,2,4,0,0,0
cuadro 55,Huehuetenango,14,0,2,2,3,1,0,1,1,0,2,2
cuadro 55,Quiché,15,0,2,1,3,0,0,0,0,5,1,3
cuadro 55,Baja Verapaz,14,1,3,1,1,1,0,0,1,2,3,1
cuadro 55,Alta Verapaz,41,3,1,2,6,2,3,7,3,3,6,5
cuadro 55,Petén,50,3,4,6,3,1,5,4,3,7,9,5
cuadro 55,Izabal,39,2,4,2,2,2,6,7,5,5,1,3
cuadro 55,Zacapa,11,0,0,3,1,3,1,0,2,1,0,0
cuadro 55,Chiquimula,11,0,4,0,0,0,0,2,1,1,2,1
cuadro 55,Jalapa,10,0,0,1,1,1,1,0,2,2,2,0
cuadro 55,Jutiapa,22,3,2,3,1,1,0,1,2,2,2,5
