hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_12
cuadro 6,Cuadro 6,,,,,,
cuadro 6,"Accidentes de tránsito ocurridos en la República de Guatemala, por año, según día de la semana.",,,,,,
cuadro 6,Serie histórica 2020 - 2024.,,,,,,
cuadro 6,Día de la semana,Año de ocurrencia,,,,,
cuadro 6,,2020,2021,2022,2023,2024,
cuadro 6,Total,6350,8153,7924,8218,8401,
cuadro 6,Lunes,880,1064,971,1053,1141,
cuadro 6,Martes,796,899,840,933,970,
cuadro 6,Miércoles,783,921,935,924,910, 
cuadro 6,Jueves,783,966,985,956,981,
cuadro 6,Viernes,873,1170,1107,1175,1182,
cuadro 6,Sábado,1180,1645,1581,1557,1615,
cuadro 6,Domingo,1055,1488,1505,1620,1602,
