hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 64,Cuadro 64,,,,,
cuadro 64,"Tasa de víctimas lesionadas involucradas en accidentes de tránsito  ocurridos en la República de Guatemala por año,",,,,,
cuadro 64,"según departamento, por cada 100,000 habitantes. ",,,,,
cuadro 64,Serie histórica 2020 - 2024.,,,,,
cuadro 64,Departamento,Año de ocurrencia,,,,
cuadro 64,,2020,2021,2022,2023,2024
cuadro 64,Total,39.10825584000506,49.0597581051174,49.22834497242349,50.6804997559712,49.918366349584815
cuadro 64,Guatemala,73.92395702227816,97.47298202399217,94.63064182413203,96.46333170775264,95.56098046218247
cuadro 64,El Progreso,75.62063303792945,95.68491882214953,102.72239910462864,100.04214973821458,108.01043764416113
cuadro 64,Sacatepéquez,55.65372610672692,67.9006580558199,94.44349172501038,94.49759594198925,92.64129002996367
cuadro 64,Chimaltenango,33.9543293815403,36.57722886626669,40.30468232402594,35.367871203945654,27.41137202204129
cuadro 64,Escuintla,63.539062628293955,76.01445022237343,97.27375244260419,125.53357841113827,150.235124564462
cuadro 64,Santa Rosa,48.52255618639917,56.22306444820758,67.29668763047034,78.7870299040549,52.37879827452984
cuadro 64,Sololá,18.40493423446174,30.575236167341433,13.92601337728688,22.34036884153915,20.218767059584707
cuadro 64,Totonicapán,12.328252038784681,11.339154099104206,17.3673147137088,17.52296197123478,17.095478246003932
cuadro 64,Quetzaltenango,20.080276483095755,25.937514768447233,32.495280060571204,33.10604078450637,25.27989584682911
cuadro 64,Suchitepéquez,35.189220533984034,38.37123104706109,31.31684087332015,35.59917563164591,36.47773515900976
cuadro 64,Retalhuleu,55.51483270093136,60.574179458976936,58.17076525999973,64.11864016774263,50.787331240589026
cuadro 64,San Marcos,12.625724059682138,14.462604916949331,11.938338481741804,19.788200835519984,13.311776323432598
cuadro 64,Huehuetenango,10.49810596671517,9.933062591871897,11.564096633796598,10.316233831882526,8.238227943664025
cuadro 64,Quiché,12.983384090838529,21.35006340321859,18.16835708089007,17.06233110748822,17.578137016304602
cuadro 64,Baja Verapaz,42.39278285745656,45.87197222497054,58.97304342185187,50.48526787657222,53.987968395614686
cuadro 64,Alta Verapaz,24.611114288896847,36.30637265392205,30.045183612270886,25.870187096888827,30.298122354150145
cuadro 64,Petén,33.90521211133298,39.041851901241785,33.264428445838384,34.67931784844513,29.895181944542898
cuadro 64,Izabal,43.587327892484595,45.46869715383875,47.75190233851678,47.58713575649357,62.528973554556536
cuadro 64,Zacapa,55.28205051584129,66.18035811337916,49.413082388079374,36.968174750736644,48.45987342998984
cuadro 64,Chiquimula,39.404047746835786,41.783601165472,34.1824549177526,28.739761459979885,32.25341724955759
cuadro 64,Jalapa,33.22899597700858,44.898417330789094,43.19357593725152,34.54790562381921,26.888948642108094
cuadro 64,Jutiapa,31.3183945201967,46.729479781349504,48.55717114163105,43.088315087293736,40.901016030389634
