hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cuadro 9,Cuadro 9,,,,,,,,,,
cuadro 9,"Accidentes de tránsito ocurridos en la República de Guatemala, por tipo de accidente, según mes de ocurrencia.",,,,,,,,,,
cuadro 9,Año 2024.,,,,,,,,,,
cuadro 9,Mes de ocurrencia,Total,Tipo de accidente,,,,,,,,
cuadro 9,,,Colisión,Atropello,Derrape,Choque,Vuelco,Embarrancó,Encunetó,Caída,Ignorado
cuadro 9,Total,8401,4513,2073,1192,401,143,73,3,1,2
cuadro 9,Enero,626,316,167,86,36,13,4,3,1,0
cuadro 9,Febrero,711,365,203,97,25,14,6,0,0,1
cuadro 9,Marzo,780,392,205,123,36,19,5,0,0,0
cuadro 9,Abril,630,333,155,91,32,16,2,0,0,1
cuadro 9,Mayo,674,368,134,112,43,13,4,0,0,0
cuadro 9,Junio,549,289,140,76,32,9,3,0,0,0
cuadro 9,Julio,703,374,187,96,32,9,5,0,0,0
cuadro 9,Agosto,687,386,150,93,37,10,11,0,0,0
cuadro 9,Septiembre,686,364,166,99,37,10,10,0,0,0
cuadro 9,Octubre,747,430,174,104,29,10,0,0,0,0
cuadro 9,Noviembre,768,430,182,104,30,14,8,0,0,0
cuadro 9,Diciembre,840,466,210,111,32,6,15,0,0,0
