hoja,Departamento de Estadísticas Socioeconómicas y Ambientales
Directorio ,Directorio
Directorio ,Autoridades
Directorio ,Mgtr. Oscar José Chávez Valdez
Directorio ,Gerente
Directorio ,Lic. Cristian Miguel Cabrera Ayala
Directorio ,Subgerente Técnico
Directorio ,Lic. Werner Santos Salguero García
Directorio ,Director de Índices y Estadísticas Continuas
Directorio ,Equipo Técnico
Directorio ,Licda. Karin Lenisse Barrios Carrascosa
Directorio ,Jefa del Departamento de las Estadísticas Socioeconómicas y Ambientales
Directorio ,Sr. Edgar Guillermo Solares García
Directorio ,Jefe en funciones de la Sección de Estadísticas Sociales
Directorio ,Licda. Yocelin Andrea Zamora Monterroso
Directorio ,Supervisor Técnico en Producción Estadística
Directorio ,Licda. Karla Yesenia Cruz Hernández
Directorio ,Técnico Analista en Producción Estadística
