anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,2020.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,6350.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,2676.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,124.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,202.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,229.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,440.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,197.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,81.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,49.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,197.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,201.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,203.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,147.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,113.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,106.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,96.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,296.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,206.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,230.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,141.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,130.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,121.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,Ano de ocurrencia,165.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,2021.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,8153.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,3450.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,170.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,270.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,297.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,615.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,238.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,109.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,77.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,253.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,229.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,222.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,182.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,141.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,186.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,137.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,380.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,266.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,237.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,154.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,166.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,146.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,228.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,2022.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,7924.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,3387.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,147.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,325.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,297.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,695.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,231.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,68.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,82.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,239.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,215.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,216.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,138.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,118.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,160.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,145.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,355.0,hechos,1,PRPNC24_cuadro_1.csv
