anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,2020.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,10103.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,4307.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,198.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,323.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,338.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,718.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,314.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,116.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,76.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,323.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,324.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,340.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,240.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,165.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,160.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,153.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,470.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,312.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,344.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,234.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,204.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,186.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,Ano de ocurrencia,258.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,,2021.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,,12796.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,,5352.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,,271.0,vehiculos,17,PRPNC24_cuadro_17.csv
2024,cuadro 17,cuadro 17,Categoria,,438.0,vehiculos,17,PRPNC24_cuadro_17.csv
