anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,8468.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,3093.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,204.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,359.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,272.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,1185.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,264.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,91.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,62.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,233.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,229.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,193.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,154.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,126.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,184.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,159.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,402.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,283.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,318.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,153.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,148.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,115.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Hombre,241.0,victimas,30,PRPNC24_cuadro_30.csv
2024,cuadro 30,cuadro 30,Categoria,Mujer,2773.0,victimas,30,PRPNC24_cuadro_30.csv
